ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12625733,JF152477,02/22/2022 09:45:00 AM,020XX W 62ND ST,460,BATTERY,SIMPLE,SCHOOL - PRIVATE GROUNDS,FALSE,FALSE,714,7,16,67,08B,1163651,1863525,2022,01/03/2023 15:40,41.78114212,-87.67556718,"(41.781142124, -87.675567181)"
12626822,JF155226,02/24/2022 11:30:00 PM,085XX S BUFFALO AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,TRUE,TRUE,424,4,10,46,04B,1199621,1849053,2022,01/03/2023 15:40,41.74059933,-87.54418249,"(41.74059933, -87.544182489)"
12587187,JF106525,01/08/2022 4:42,015XX S CHRISTIANA AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,TRUE,TRUE,1021,10,24,29,04B,1154286,1892174,2022,01/03/2023 15:40,41.85995019,-87.70913851,"(41.859950194, -87.709138509)"
12619421,JF145943,02/16/2022 07:30:00 AM,009XX N LAVERGNE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1531,15,37,25,08A,1142849,1905982,2022,01/03/2023 15:40,41.89806156,-87.75077703,"(41.898061559, -87.750777034)"
12609620,JF133567,01/15/2022 06:39:00 PM,075XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,2422,24,49,1,6,1162907,1949949,2022,01/03/2023 15:40,42.01831174,-87.67586663,"(42.018311737, -87.675866628)"
12623250,JF150896,02/20/2022 10:00:00 PM,004XX E 110TH PL,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,513,5,9,49,6,1181063,1831622,2022,01/03/2023 15:40,41.69321334,-87.61271084,"(41.693213341, -87.612710835)"
12599234,JF121050,01/22/2022 01:00:00 PM,070XX S STONY ISLAND AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GAS STATION,FALSE,FALSE,332,3,5,43,10,1188135,1858735,2022,01/03/2023 15:40,41.76744896,-87.58595717,"(41.767448959, -87.585957168)"
12590200,JF109319,01/11/2022 2:01,057XX W BELMONT AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,2514,25,30,19,5,1137344,1920689,2022,01/03/2023 15:40,41.93852005,-87.77064229,"(41.938520053, -87.770642285)"
12599901,JF121837,01/23/2022 12:00:00 PM,082XX S INGLESIDE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,631,6,8,44,08B,1183996,1850658,2022,01/03/2023 15:40,41.74538255,-87.60138008,"(41.745382548, -87.601380078)"
12623868,JF151734,02/09/2022 18:00,014XX N CENTRAL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,2532,25,37,25,11,1138736,1909045,2022,01/03/2023 15:40,41.90654244,-87.76580951,"(41.906542444, -87.765809506)"
12603962,JF127091,01/26/2022 09:00:00 AM,042XX W WRIGHTWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2524,25,31,20,26,1147861,1916944,2022,01/03/2023 15:40,41.92804751,-87.73208597,"(41.928047505, -87.732085974)"
12605965,JF129585,01/31/2022 12:00:00 AM,040XX S INDIANA AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,213,2,3,38,6,1178264,1878334,2022,01/03/2023 15:40,41.82146014,-87.62154347,"(41.821460144, -87.621543473)"
12631196,JF160638,03/02/2022 0:00,049XX W GLADYS AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1533,15,29,25,6,1143587,1897889,2022,01/03/2023 15:40,41.87583962,-87.74826906,"(41.87583962, -87.748269058)"
12600539,JF122084,01/23/2022 08:20:00 PM,036XX E 106TH ST,820,THEFT,$500 AND UNDER,DRUG STORE,FALSE,FALSE,432,4,10,52,6,1201989,1835277,2022,01/03/2023 15:40,41.70273703,-87.53597409,"(41.702737032, -87.535974085)"
